id,Etat,Domaine,Categorie,Sections,Pages-main,Sous-pages,Hook
I.1.1.1,Créé,Présentations,🧐 ,Mon Histoire,Prise d’élan,,
I.1.1.2,Créé,Présentations,🧐 ,Mon Histoire,Décollage,,
I.1.1.3,Créé,Présentations,🧐 ,Mon Histoire,Le Mythe d’Icare,,
I.1.1.4,Créé,Présentations,🧐 ,Mon Histoire,et du Phoenix,,
I.1.2.1.1,Créé,Présentations,🧐 ,Mes Opinions,Numérique,Métiers,
I.1.2.1.2,Créé,Présentations,🧐 ,Mes Opinions,Numérique,Compétences,
I.1.2.1.3,Créé,Présentations,🧐 ,Mes Opinions,Numérique,GAFAM,
I.1.2.1.4,Créé,Présentations,🧐 ,Mes Opinions,Numérique,Souveraineté,
I.1.2.2.1,Créé,Présentations,🧐 ,Mes Opinions,Education,Primaire & Secondaire,
I.1.2.2.2,Créé,Présentations,🧐 ,Mes Opinions,Education,Enseignement Lucratif,
I.1.2.2.3,Créé,Présentations,🧐 ,Mes Opinions,Education,Formation Professionnelle,
I.1.2.2.4,Créé,Présentations,🧐 ,Mes Opinions,Education,Enseignement Superieur,
I.1.2.3.1.1,Créé,Présentations,🧐 ,Mes Opinions,Science,La Méthode Scientifique,Observation / Question
I.1.2.3.1.2,Créé,Présentations,🧐 ,Mes Opinions,Science,La Méthode Scientifique,Research / Hypothesis
I.1.2.3.1.3,Créé,Présentations,🧐 ,Mes Opinions,Science,La Méthode Scientifique,"Test w/ Experiment"
I.1.2.3.1.4,Créé,Présentations,🧐 ,Mes Opinions,Science,La Méthode Scientifique,Analyse Data
I.1.2.3.2.1,Créé,Présentations,🧐 ,Mes Opinions,Science,Scientific Publication,How it works ?
I.1.2.3.2.2,Créé,Présentations,🧐 ,Mes Opinions,Science,Scientific Publication,Editorial Market
I.1.2.3.2.3,Créé,Présentations,🧐 ,Mes Opinions,Science,Scientific Publication,Research Assesment
I.1.2.3.2.4,Créé,Présentations,🧐 ,Mes Opinions,Science,Scientific Publication,Research Impact
I.1.2.3.3,Créé,Présentations,🧐 ,Mes Opinions,Science,Open Science,
I.1.2.3.4,Créé,Présentations,🧐 ,Mes Opinions,Science,Reproducibility ,
I.1.2.4.1.1,Créé,Présentations,🧐 ,Mes Opinions,Société,Exprimer,Sa Créativité
I.1.2.4.1.2,Créé,Présentations,🧐 ,Mes Opinions,Société,Exprimer,Sa Curiosité
I.1.2.4.1.3,Créé,Présentations,🧐 ,Mes Opinions,Société,Exprimer,Sa Pensée Anti-Capitaliste
I.1.2.4.1.4,Créé,Présentations,🧐 ,Mes Opinions,Société,Exprimer,Son Utopie
I.1.2.4.2.1,Créé,Présentations,🧐 ,Mes Opinions,Société,du Je au Nous,Le Cadre
I.1.2.4.2.2,Créé,Présentations,🧐 ,Mes Opinions,Société,du Je au Nous,Le Collectif
I.1.2.4.2.3,Créé,Présentations,🧐 ,Mes Opinions,Société,du Je au Nous,La Communication
I.1.2.4.2.4,Créé,Présentations,🧐 ,Mes Opinions,Société,du Je au Nous,La Participation
I.1.2.4.3,Créé,Présentations,🧐 ,Mes Opinions,Société,Co-Construire,
I.1.2.4.4,Créé,Présentations,🧐 ,Mes Opinions,Société,La Démocratie,
I.1.3.1,Créé,Présentations,🧐 ,Mon Ikigai,je peux être Payé,,
I.1.3.2,Créé,Présentations,🧐 ,Mon Ikigai,je suis Doué,,
I.1.3.3,Créé,Présentations,🧐 ,Mon Ikigai,j’Aime,,
I.1.3.4,Créé,Présentations,🧐 ,Mon Ikigai,le Monde à Besoin,,
I.1.4.1.1.1,Créé,Présentations,🧐 ,Ma Methode,Stack,Python,Analyse de données
I.1.4.1.1.2,Créé,Présentations,🧐 ,Ma Methode,Stack,Python,Automatisation
I.1.4.1.1.3,Créé,Présentations,🧐 ,Ma Methode,Stack,Python,Conception Web
I.1.4.1.1.4,Créé,Présentations,🧐 ,Ma Methode,Stack,Python,Developpement IA
I.1.4.1.2.1,Créé,Présentations,🧐 ,Ma Methode,Stack,Markdown,Prise de Notes
I.1.4.1.2.2,Créé,Présentations,🧐 ,Ma Methode,Stack,Markdown,Production de docs
I.1.4.1.2.3,Créé,Présentations,🧐 ,Ma Methode,Stack,Markdown,Rédaction Web
I.1.4.1.2.4,Créé,Présentations,🧐 ,Ma Methode,Stack,Markdown,Conversion multiformat
I.1.4.1.3.1,Créé,Présentations,🧐 ,Ma Methode,Stack,Sphinx,Structuration
I.1.4.1.3.2,Créé,Présentations,🧐 ,Ma Methode,Stack,Sphinx,Gestion
I.1.4.1.3.3,Créé,Présentations,🧐 ,Ma Methode,Stack,Sphinx,Construction Web
I.1.4.1.3.4,Créé,Présentations,🧐 ,Ma Methode,Stack,Sphinx,Personalisation
I.1.4.1.4,Créé,Présentations,🧐 ,Ma Methode,Stack,Github,
I.1.4.2.1,Créé,Présentations,🧐 ,Ma Methode,Workflows,Se Lancer,
I.1.4.2.2,Créé,Présentations,🧐 ,Ma Methode,Workflows,Implémenter,
I.1.4.2.3,Créé,Présentations,🧐 ,Ma Methode,Workflows,Heberger,
I.1.4.2.4,Créé,Présentations,🧐 ,Ma Methode,Workflows,Iterer,
I.1.4.3,Créé,Présentations,🧐 ,Ma Methode,Base de Connaissance,,
I.1.4.4.1,Créé,Présentations,🧐 ,Ma Methode,Intelligences,Artificielle,
I.1.4.4.2,Créé,Présentations,🧐 ,Ma Methode,Intelligences,Humaine,
I.1.4.4.3,Créé,Présentations,🧐 ,Ma Methode,Intelligences,Collective,
I.1.4.4.4,Créé,Présentations,🧐 ,Ma Methode,Intelligences,Environemental,
I.2.1.1,Créé,Présentations,🧩,Nom et Valeurs,Web 4.0,,
I.2.1.2,Créé,Présentations,🧩,Nom et Valeurs,Planète Apprenante,,
I.2.1.3,Créé,Présentations,🧩,Nom et Valeurs,Open-Source,,
I.2.1.4,Créé,Présentations,🧩,Nom et Valeurs,Anarchie,,
I.2.2.1,Créé,Présentations,🧩,Hypothèses sur le Besoin,Création,,
I.2.2.2,Créé,Présentations,🧩,Hypothèses sur le Besoin,Connaissances,,
I.2.2.3,Créé,Présentations,🧩,Hypothèses sur le Besoin,Partage,,
I.2.2.4,Créé,Présentations,🧩,Hypothèses sur le Besoin,Liens,,
I.2.3.1,Créé,Présentations,🧩,Description de l’Offre,Artisanat,,
I.2.3.2,Créé,Présentations,🧩,Description de l’Offre,Apprentissages,,
I.2.3.3,Créé,Présentations,🧩,Description de l’Offre,"Accompagnement",,
I.2.3.4,Créé,Présentations,🧩,Description de l’Offre,Assemblage,,
I.2.4.1,Créé,Présentations,🧩,Vision Globale,Atelier,,
I.2.4.2,Créé,Présentations,🧩,Vision Globale,Academie,,
I.2.4.3,Créé,Présentations,🧩,Vision Globale,Alliance,,
I.2.4.4,Créé,Présentations,🧩,Vision Globale,Agora,,
I.3.1.1,Créé,Présentations,💼,Contexte,Liberte,,
I.3.1.2,Créé,Présentations,💼,Contexte,CDUI,,
I.3.1.3,Créé,Présentations,💼,Contexte,Environnement,,
I.3.1.4,Créé,Présentations,💼,Contexte,Ambitions,,
I.3.2.1,Créé,Présentations,💼,Objectifs,Créer,,
I.3.2.2,Créé,Présentations,💼,Objectifs,Enseigner,,
I.3.2.3,Créé,Présentations,💼,Objectifs,Fédérer,,
I.3.2.4,Créé,Présentations,💼,Objectifs,Inspirer,,
I.3.3.1,Créé,Présentations,💼,Contraintes,Structure,,
I.3.3.2,Créé,Présentations,💼,Contraintes,Statuts,,
I.3.3.3.1,Créé,Présentations,💼,Contraintes,Délais,03 → 08 2026 (Diplôme CDUI),
I.3.3.3.2,Créé,Présentations,💼,Contraintes,Délais,09 → 12 2026 (Pré-Incubation),
I.3.3.4,Créé,Présentations,💼,Contraintes,Budgets,,
I.3.4.1,Créé,Présentations,💼,Outils,Faire,,
I.3.4.2,Créé,Présentations,💼,Outils,Apprendre,,
I.3.4.3,Créé,Présentations,💼,Outils,Organiser,,
I.3.4.4,Créé,Présentations,💼,Outils,Communiquer,,
I.4.1.1,Créé,Présentations,📦,Listes,Figures,,
I.4.1.2.1,Créé,Présentations,📦,Listes,Dropdown,Comment j’ai fait,
I.4.1.2.2,Créé,Présentations,📦,Listes,Dropdown,Reflexions,
I.4.1.2.3,Créé,Présentations,📦,Listes,Dropdown,En Savoir Plus,
I.4.1.2.4,Créé,Présentations,📦,Listes,Dropdown,Usage IA,
I.4.1.3,Créé,Présentations,📦,Listes,Iframe,,
I.4.1.4,Créé,Présentations,📦,Listes,code block,,
I.4.2.1,Créé,Présentations,📦,Glossaire,Acronymes,,
I.4.2.2,Créé,Présentations,📦,Glossaire,Definitions fr,,
I.4.2.3,Créé,Présentations,📦,Glossaire,Definitions en,,
I.4.3.1,Créé,Présentations,📦,Bibliography,Tableau de Veille,,
I.4.3.2,Créé,Présentations,📦,Bibliography,Webographie,,
I.4.3.3,Créé,Présentations,📦,Bibliography,Articles Scientifiques,,
I.4.3.4,Créé,Présentations,📦,Bibliography,Rapports,,
I.4.4.1,Créé,Présentations,📦,Versions,"Version Alpha (en cours)",,
I.4.4.2,Créé,Présentations,📦,Versions,Version Beta (futur),,
II.1.1.1,Créé,Analyse,💰,Note & PKM Apps,Exploration,,
II.1.1.2,Créé,Analyse,💰,Note & PKM Apps,Proposition de Valeure,,
II.1.1.3,Créé,Analyse,💰,Note & PKM Apps,SWOT,,
II.1.1.4,Créé,Analyse,💰,Note & PKM Apps,Business Model,,
II.1.2.1,Créé,Analyse,💰,Formation & EdTech,Exploration,,
II.1.2.2,Créé,Analyse,💰,Formation & EdTech,Proposition de Valeure,,
II.1.2.3,Créé,Analyse,💰,Formation & EdTech,SWOT,,
II.1.2.4,Créé,Analyse,💰,Formation & EdTech,Business Model,,
II.1.3.1,Créé,Analyse,💰,FAIR Publishing,Exploration,,
II.1.3.2,Créé,Analyse,💰,FAIR Publishing,Proposition de Valeure,,
II.1.3.3,Créé,Analyse,💰,FAIR Publishing,SWOT,,
II.1.3.4,Créé,Analyse,💰,FAIR Publishing,Business Model,,
II.1.4.1,Créé,Analyse,💰,Économie de l’Attention,Exploration,,
II.1.4.2,Créé,Analyse,💰,Économie de l’Attention,Proposition de Valeure,,
II.1.4.3,Créé,Analyse,💰,Économie de l’Attention,SWOT,,
II.1.4.4,Créé,Analyse,💰,Économie de l’Attention,Business Model,,
II.2.1.1,Créé,Analyse,📂,"Créative & Technologique",Objectifs,,
II.2.1.2,Créé,Analyse,📂,"Créative & Technologique",Stockage,,
II.2.1.3,Créé,Analyse,📂,"Créative & Technologique",Traitement,,
II.2.1.4,Créé,Analyse,📂,"Créative & Technologique",Partage,,
II.2.2.1,Créé,Analyse,📂,Informationnelle et Scientifique,Objectifs,,
II.2.2.2,Créé,Analyse,📂,Informationnelle et Scientifique,Stockage,,
II.2.2.3,Créé,Analyse,📂,Informationnelle et Scientifique,Traitement,,
II.2.2.4,Créé,Analyse,📂,Informationnelle et Scientifique,Partage,,
II.2.3.1,Créé,Analyse,📂,"Legal & Institutionelle",Objectifs,,
II.2.3.2,Créé,Analyse,📂,"Legal & Institutionelle",Stockage,,
II.2.3.3,Créé,Analyse,📂,"Legal & Institutionelle",Traitement,,
II.2.3.4,Créé,Analyse,📂,"Legal & Institutionelle",Partage,,
II.2.4.1,Créé,Analyse,📂,Concurrentielle & Stratégique,Objectifs,,
II.2.4.2,Créé,Analyse,📂,Concurrentielle & Stratégique,Stockage,,
II.2.4.3,Créé,Analyse,📂,Concurrentielle & Stratégique,Traitement,,
II.2.4.4,Créé,Analyse,📂,Concurrentielle & Stratégique,Partage,,
II.3.1.1,Créé,Analyse,❤️,Méthodes,Source,,
II.3.1.2,Créé,Analyse,❤️,Méthodes,Enquêtes,,
II.3.1.3,Créé,Analyse,❤️,Méthodes,Formulaire,,
II.3.1.4,Créé,Analyse,❤️,Méthodes,Interviews,,
II.3.2.1,Créé,Analyse,❤️,Cibles,Coeur de Cible,,
II.3.2.2,Créé,Analyse,❤️,Cibles,Cible Principale,,
II.3.2.3,Créé,Analyse,❤️,Cibles,Cibles Secondaires,,
II.3.2.4,Créé,Analyse,❤️,Cibles,Cibles Relais,,
II.3.3.1,Créé,Analyse,❤️,Personas,Persona 1,,
II.3.3.2,Créé,Analyse,❤️,Personas,Persona 2,,
II.3.3.3,Créé,Analyse,❤️,Personas,Persona 3,,
II.3.3.4,Créé,Analyse,❤️,Personas,Persona 4,,
II.3.4.1,Créé,Analyse,❤️,La Communauté,Artistes,,
II.3.4.2,Créé,Analyse,❤️,La Communauté,Educateurs,,
II.3.4.3,Créé,Analyse,❤️,La Communauté,Scientifiques,,
II.3.4.4,Créé,Analyse,❤️,La Communauté,Médiatique,,
II.4.1.1,Créé,Analyse,🤩,Digital (UI / UX),Posthog,,
II.4.2,,Analyse,🤩,Learning Experience,,,
II.4.3.1,Créé,Analyse,🤩,Technologique,Wikicommute,,
II.4.4.1,Créé,Analyse,🤩,"Concurrentiel",Obsidian,,
II.4.4.3,Créé,Analyse,🤩,"Concurrentiel",Curvenote,,
II.4.4.4,Créé,Analyse,🤩,"Concurrentiel",Newpress,,
III.1.1.1.1,Créé,Identitée,🎯,ADN,Nucleotides,Art,
III.1.1.1.2,Créé,Identitée,🎯,ADN,Nucleotides,Transmission,
III.1.1.1.3,Créé,Identitée,🎯,ADN,Nucleotides,"Construction",
III.1.1.1.4,Créé,Identitée,🎯,ADN,Nucleotides,Gestion,
III.1.1.2.1,Créé,Identitée,🎯,ADN,Code Source,Intention,
III.1.1.2.2,Créé,Identitée,🎯,ADN,Code Source,Innovation,
III.1.1.2.3,Créé,Identitée,🎯,ADN,Code Source,"Temporalité",
III.1.1.2.4,Créé,Identitée,🎯,ADN,Code Source,"Ethique",
III.1.1.3.1,Créé,Identitée,🎯,ADN,"Phénotype Créatif",Esthétique,
III.1.1.3.2,Créé,Identitée,🎯,ADN,"Phénotype Créatif",Experimentations,
III.1.1.3.3,Créé,Identitée,🎯,ADN,"Phénotype Créatif","Langage",
III.1.1.3.4,Créé,Identitée,🎯,ADN,"Phénotype Créatif",Ecosystème,
III.1.1.4,Créé,Identitée,🎯,ADN,Dynamiques Evolutives,,
III.1.2,Créé,Identitée,🎯,Positionement,,,
III.1.3,Créé,Identitée,🎯,Personalité,,,
III.1.4,Créé,Identitée,🎯,Experience,,,
III.2.1.1,Créé,Identitée,💥,Idéation,Moodboard,,
III.2.2.1,Créé,Identitée,💥,Logo,Versions Principales,,
III.2.2.2,Créé,Identitée,💥,Logo,Déclinaisons,,
III.2.2.3,Créé,Identitée,💥,Logo,Versions Animées,,
III.2.2.4,Créé,Identitée,💥,Logo,Versions Spéciales,,
III.2.3,Créé,Identitée,💥,Couleurs & Typos,,,
III.2.4,Créé,Identitée,💥,Assets,,,
III.3.1,Créé,Identitée,🖌️,Regles Utilisation Logo,,,
III.3.2,Créé,Identitée,🖌️,Utilisation Couleurs,,,
III.3.3,Créé,Identitée,🖌️,Utilisation Typos,,,
III.3.4,Créé,Identitée,🖌️,UI et Mise en Page,,,
III.4.1,Créé,Identitée,🖼️,Carte de Visite,,,
III.4.2,Créé,Identitée,🖼️,Stickers,,,
III.4.3,Créé,Identitée,🖼️,Flyer / Poster,,,
III.4.4,Créé,Identitée,🖼️,Merchandising,,,
IV.1.1,Créé,Conception,🏃,User Stories,,,
IV.1.2,Créé,Conception,🏃,Arborescence,,,
IV.1.3,Créé,Conception,🏃,User Flow,,,
IV.1.4,Créé,Conception,🏃,Experience Map,,,
IV.2.1,Créé,Conception,📐,Fondations,,,
IV.2.2,Créé,Conception,📐,UI Elements,,,
IV.2.3.1,Créé,Conception,📐,UX & Interactions,Micro-interactions,,
IV.2.4,Créé,Conception,📐,Documentation,,,
IV.3.1,Créé,Conception,📱,Croquis / Zoning,,,
IV.3.2,Créé,Conception,📱,Wireframe,,,
IV.3.3,Créé,Conception,📱,Maquettes,,,
IV.3.4,Créé,Conception,📱,Prototype,,,
IV.4.1,Créé,Conception,⚡,Tests Exploratoirs,,,
IV.4.2,Créé,Conception,⚡,Tests d'Utilisation,,,
IV.4.3,Créé,Conception,⚡,Tests d'Acceptabilité,,,
IV.4.4,Créé,Conception,⚡,A/B Testing,,,
V.1.1.1,Créé,Dévelopement,🖥️,Mise en Place,Installation,,
V.1.1.2,Créé,Dévelopement,🖥️,Mise en Place,Constructeur de Thème,,
V.1.1.3,Créé,Dévelopement,🖥️,Mise en Place,Thème Adaptation,,
V.1.1.4,Créé,Dévelopement,🖥️,Mise en Place,Plugins,,
V.1.2.1,Créé,Dévelopement,🖥️,Intégration,Atelier,,
V.1.2.2,Créé,Dévelopement,🖥️,Intégration,Académie,,
V.1.2.3,Créé,Dévelopement,🖥️,Intégration,Alliance,,
V.1.2.4,Créé,Dévelopement,🖥️,Intégration,Agora,,
V.1.3,Créé,Dévelopement,🖥️,Adaptation,,,
V.1.4,Créé,Dévelopement,🖥️,Optimisation,,,
V.2.1.1,Créé,Dévelopement,🎓,Modèle ADDIE,Analyse,,
V.2.1.2,Créé,Dévelopement,🎓,Modèle ADDIE,Design / Développement,,
V.2.1.3,Créé,Dévelopement,🎓,Modèle ADDIE,Implémentation,,
V.2.1.4,Créé,Dévelopement,🎓,Modèle ADDIE,Evaluation / Evolution,,
V.2.2.1,Créé,Dévelopement,🎓,Qualiopie,1 - Conditions,,
V.2.2.2,Créé,Dévelopement,🎓,Qualiopie,2 - Objectifs,,
V.2.2.3,Créé,Dévelopement,🎓,Qualiopie,3 - Adaptation,,
V.2.2.4,Créé,Dévelopement,🎓,Qualiopie,4 - Moyens,,
V.2.2.5,Créé,Dévelopement,🎓,Qualiopie,5 - Compétences,,
V.2.2.6,Créé,Dévelopement,🎓,Qualiopie,6 - Engagement,,
V.2.2.7,Créé,Dévelopement,🎓,Qualiopie,7 - Amelioration,,
V.2.2.8,Créé,Dévelopement,🎓,Qualiopie,Process Globale,,
V.2.3.1,Créé,Dévelopement,🎓,Environement d'Apprentissage,Sphinx + Github + Frama,,
V.2.3.2,Créé,Dévelopement,🎓,Environement d'Apprentissage,Accessibilité,,
V.2.3.3,Créé,Dévelopement,🎓,Environement d'Apprentissage,Eco-Conception,,
V.2.3.4,Créé,Dévelopement,🎓,Environement d'Apprentissage,Suivie & RGPD,,
V.2.4,Créé,Dévelopement,🎓,Apprenants & Diplômes,,,
V.3.1.1,Créé,Dévelopement,🏋,Thèse,CDC,,
V.3.1.2.1,Créé,Dévelopement,🏋,Thèse,Conception / Design,Template,
V.3.1.3.1,Créé,Dévelopement,🏋,Thèse,Recherche,Observations,
V.3.1.3.2,Créé,Dévelopement,🏋,Thèse,Recherche,Hypothèses,
V.3.1.3.3,Créé,Dévelopement,🏋,Thèse,Recherche,Experience,
V.3.1.3.4,Créé,Dévelopement,🏋,Thèse,Recherche,Analyse,
V.3.1.4,Créé,Dévelopement,🏋,Thèse,Next Steps,,
V.3.2,Créé,Dévelopement,🏋,Boite à outil,,,
V.3.3,Créé,Dévelopement,🏋,Mes Créations,,,
V.3.4.1,Créé,Dévelopement,🏋,Applications,Vibe Coding,,
V.3.4.2,Créé,Dévelopement,🏋,Applications,Agent IA,,
V.3.4.3,Créé,Dévelopement,🏋,Applications,Mobile,,
V.4.1,Créé,Dévelopement,💫,Conception / Design,,,
V.4.2,Créé,Dévelopement,💫,HTML,,,
V.4.3,Créé,Dévelopement,💫,CSS,,,
V.4.4,Créé,Dévelopement,💫,JS,,,
VI.1.1.1,Créé,Marketing,♟️,Le Marché 4.A,,,
VI.1.1.2,Créé,Marketing,♟️,Tunnel de Vente,,,
VI.1.1.3,Créé,Marketing,♟️,"Objectifs & KPI",,,
VI.1.1.4,Créé,Marketing,♟️,Moyens Disponibles,,,
VI.2.1.1,Créé,Marketing,🏆,Analyse des mots clés,Investigations,,
VI.2.1.2,Créé,Marketing,🏆,Analyse des mots clés,Intention de Recherche,,
VI.2.1.3,Créé,Marketing,🏆,Analyse des mots clés,Cocon Sémantique,,
VI.2.1.4,Créé,Marketing,🏆,Analyse des mots clés,Ontologie,,
VI.2.2,Créé,Marketing,🏆,Structurelle & Technique,,,
VI.2.3,Créé,Marketing,🏆,On-Page,,,
VI.2.4,Créé,Marketing,🏆,Off-Page,,,
VI.3.1,Créé,Marketing,📊,Materiel & Méthode,,,
VII.1.1,Créé,Com,🗣️,Lettres Manuscrites,,,
VII.1.2,Créé,Com,🗣️,Tests Utilisateurs,,,
VII.1.3,Créé,Com,🗣️,Challenges,,,
VII.1.4,Créé,Com,🗣️,Evenements,,,
VII.2.1.1,Créé,Com,🎬,Video,Storyboard,,
VII.2.1.2,Créé,Com,🎬,Video,Prise de Vue / Son,,
VII.2.1.3,Créé,Com,🎬,Video,Montage,,
VII.2.1.4,Créé,Com,🎬,Video,Resultat Final,,
VII.3.1,Créé,Com,💑,Stratégie,,,
VII.3.2,Créé,Com,💑,Création,,,
VII.3.3,Créé,Com,💑,Gestion,,,
VII.3.4,Créé,Com,💑,Suivi,,,
VII.4.1,Créé,Com,📨,Stratégie,,,
VII.4.2,Créé,Com,📨,Création,,,
VII.4.3,Créé,Com,📨,Gestion,,,
VII.4.4,Créé,Com,📨,Suivi,,,
